gemeente;soort;jaar;verkiezing;"verkiezing-
partij";p;partij;w;sb;stemmen;opmerking
Leiden;GR;2002;GR2002;GR2002-5;5;D66;1;9;145;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;1;9;63;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;1;9;44;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;1;9;64;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;1;9;34;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;1;10;160;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;1;10;178;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;1;10;138;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;1;10;56;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;1;10;130;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;1;10;68;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;1;10;38;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;1;10;29;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;1;10;20;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;1;11;119;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;1;11;208;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;1;11;149;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;1;11;54;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;1;11;89;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;1;11;85;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;1;11;24;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;1;11;38;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;1;11;21;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;6;12;152;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;6;12;89;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;6;12;172;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;6;12;72;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;6;12;111;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;6;12;67;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;6;12;32;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;6;12;46;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;6;12;45;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;6;13;192;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;6;13;133;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;6;13;131;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;6;13;52;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;6;13;94;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;6;13;79;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;6;13;37;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;6;13;69;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;6;13;34;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;6;14;186;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;6;14;191;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;6;14;81;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;6;14;72;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;6;14;105;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;6;14;126;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;6;14;21;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;6;14;90;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;6;14;29;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;6;15;129;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;6;15;43;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;6;15;88;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;6;15;101;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;6;15;47;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;6;15;36;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;6;15;19;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;6;15;84;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;6;15;27;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;6;16;219;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;6;16;120;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;6;16;79;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;6;16;84;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;6;16;54;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;6;16;91;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;6;16;13;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;6;16;96;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;6;16;21;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;6;17;187;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;6;17;123;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;6;17;76;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;6;17;39;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;6;17;83;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;6;17;159;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;6;17;24;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;6;17;67;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;6;17;56;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;7;18;150;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;7;18;188;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;7;18;172;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;7;18;40;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;7;18;115;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;7;18;71;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;7;18;15;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;7;18;27;
